video,label,elbow_mean_idle,straight_ratio_idle,tripod_ratio,com_over_base_ratio,wall_dist_idle,wall_dist_move,wall_push_ratio,jerk_move,leg_drive_ratio,_n_frames,_n_moves,_idle_frames
E50.mp4,expert,117.34438923026147,0.4218455743879473,0.02945736434108527,0.49612403100775193,0.06173994157663198,0.02193823269907323,0.35533284589385156,1.3061322794137977,0.10833934398609363,645,3,531
E51.mp4,expert,115.75608371253364,0.10355987055016182,0.27442827442827444,0.46153846153846156,0.10258359131608281,0.098266353500959,0.957914834732489,0.027332804265419963,0.5543284657390245,481,6,309
E52.mp4,expert,133.2802513021052,0.33791208791208793,0.008680555555555556,0.06597222222222222,0.12766794471778753,0.08625766395007202,0.6756406816475304,0.07134261336025664,0.8015559493241208,576,2,364
E53.mp4,expert,123.3556233481577,0.013468013468013467,0.4427860696517413,0.8308457711442786,0.09971478533092373,0.11972984346878689,1.200722952611387,0.015285004825102928,0.49336163684491363,402,3,297
E54.mp4,expert,148.07863273079184,0.6782006920415224,0.1276595744680851,0.32540675844806005,0.08588588739509272,0.07708094316239748,0.8974807913784654,0.012754830926261106,0.5644412438560761,799,8,578
E55.mp4,expert,133.36795783575792,0.42093023255813955,0.463519313304721,0.6351931330472103,0.1293990537379245,0.14707126064733447,1.1365712888402497,0.016129605992253878,0.36617319451310454,699,9,430
E56.mp4,expert,134.96835193926796,0.34385964912280703,0.0,0.40977443609022557,0.18747652108743684,0.1043008467040978,0.5563408182299528,0.008185992855130483,0.47847033940593237,532,7,285
E57.mp4,expert,106.11515264497791,0.0,0.6463104325699746,1.0,0.1407760140997232,0.18367316668316297,1.3047190944464535,0.04097601415771352,0.24265493609355424,393,2,300
E58.mp4,expert,100.81207668813806,0.013605442176870748,0.06378132118451026,0.4988610478359909,0.06751363743254007,0.05101941600368695,0.7556904114040909,0.13955596629674086,0.6355165460966822,439,2,294
E59.mp4,expert,141.98259880671117,0.5478723404255319,0.2433234421364985,0.8902077151335311,0.05712120514594719,0.05028654640693372,0.880347980666192,0.007349721414520977,0.4974798046134562,337,5,188
E60.mp4,expert,144.148495626987,0.5464285714285714,0.0,0.0,0.03380514691905795,0.038824834746750636,1.1484885232070259,0.6755111087242404,0.6502422598592398,339,2,280
E61.mp4,expert,149.115561777813,0.5083798882681564,0.21450151057401812,0.23867069486404835,0.06598164658892275,0.05601275833995024,0.8489140957602734,0.019230026671840466,0.4912213643003394,331,4,179
E62.mp4,expert,134.55747883775757,0.41134751773049644,0.12465373961218837,0.3490304709141274,0.13375499737366603,0.09110561642930189,0.6811379866682954,0.11796864547166021,0.42137199379064105,361,2,282
E63.mp4,expert,153.84660184393334,0.675392670157068,0.04807692307692308,0.5576923076923077,0.1580687996855889,0.22528586108953283,1.42523918246518,0.0451365647487014,0.5630864630101798,312,3,191
